,round,homeTeam,awayTeam,homeScore,awayScore,matchId,url
0,17,Toulouse,RC Lens,0,3,14064454,https://www.sofascore.com/api/v1/event/14064454/shotmap
1,17,AS Monaco,Olympique Lyonnais,1,3,14064448,https://www.sofascore.com/api/v1/event/14064448/shotmap
2,17,Nice,RC Strasbourg,1,1,14064447,https://www.sofascore.com/api/v1/event/14064447/shotmap
3,17,Lille,Stade Rennais,0,2,14064449,https://www.sofascore.com/api/v1/event/14064449/shotmap
4,17,Olympique de Marseille,Nantes,0,2,14064458,https://www.sofascore.com/api/v1/event/14064458/shotmap
5,17,Le Havre,Angers,2,1,14064453,https://www.sofascore.com/api/v1/event/14064453/shotmap
6,17,Lorient,Metz,1,1,14064452,https://www.sofascore.com/api/v1/event/14064452/shotmap
7,17,Stade Brestois,Auxerre,2,0,14064450,https://www.sofascore.com/api/v1/event/14064450/shotmap
8,17,Paris Saint-Germain,Paris FC,2,1,14064451,https://www.sofascore.com/api/v1/event/14064451/shotmap
0,18,AS Monaco,Lorient,1,3,14064463,https://www.sofascore.com/api/v1/event/14064463/shotmap
1,18,Paris Saint-Germain,Lille,3,0,14064464,https://www.sofascore.com/api/v1/event/14064464/shotmap
2,18,RC Lens,Auxerre,1,0,14064461,https://www.sofascore.com/api/v1/event/14064461/shotmap
3,18,Toulouse,Nice,5,1,14064457,https://www.sofascore.com/api/v1/event/14064457/shotmap
4,18,Angers,Olympique de Marseille,2,5,14064462,https://www.sofascore.com/api/v1/event/14064462/shotmap
5,18,RC Strasbourg,Metz,2,1,14064456,https://www.sofascore.com/api/v1/event/14064456/shotmap
6,18,Nantes,Paris FC,1,2,14064459,https://www.sofascore.com/api/v1/event/14064459/shotmap
7,18,Stade Rennais,Le Havre,1,1,14064460,https://www.sofascore.com/api/v1/event/14064460/shotmap
8,18,Olympique Lyonnais,Stade Brestois,2,1,14064455,https://www.sofascore.com/api/v1/event/14064455/shotmap
0,19,Auxerre,Paris Saint-Germain,0,1,14064470,https://www.sofascore.com/api/v1/event/14064470/shotmap
1,19,Stade Rennais,Lorient,0,2,14064471,https://www.sofascore.com/api/v1/event/14064471/shotmap
2,19,Le Havre,AS Monaco,0,0,14064473,https://www.sofascore.com/api/v1/event/14064473/shotmap
3,19,Olympique de Marseille,RC Lens,3,1,14064469,https://www.sofascore.com/api/v1/event/14064469/shotmap
4,19,Nantes,Nice,1,4,14064474,https://www.sofascore.com/api/v1/event/14064474/shotmap
5,19,Metz,Olympique Lyonnais,2,5,14064467,https://www.sofascore.com/api/v1/event/14064467/shotmap
6,19,Paris FC,Angers,0,0,14064466,https://www.sofascore.com/api/v1/event/14064466/shotmap
7,19,Stade Brestois,Toulouse,0,2,14064472,https://www.sofascore.com/api/v1/event/14064472/shotmap
8,19,Lille,RC Strasbourg,1,4,14064465,https://www.sofascore.com/api/v1/event/14064465/shotmap
0,20,RC Lens,Le Havre,1,0,14064480,https://www.sofascore.com/api/v1/event/14064480/shotmap
1,20,Paris FC,Olympique de Marseille,2,2,14064475,https://www.sofascore.com/api/v1/event/14064475/shotmap
2,20,Lorient,Nantes,2,1,14064478,https://www.sofascore.com/api/v1/event/14064478/shotmap
3,20,AS Monaco,Stade Rennais,4,0,14064479,https://www.sofascore.com/api/v1/event/14064479/shotmap
4,20,Olympique Lyonnais,Lille,1,0,14064468,https://www.sofascore.com/api/v1/event/14064468/shotmap
5,20,Angers,Metz,1,0,14064482,https://www.sofascore.com/api/v1/event/14064482/shotmap
6,20,Nice,Stade Brestois,2,2,14064481,https://www.sofascore.com/api/v1/event/14064481/shotmap
7,20,Toulouse,Auxerre,0,0,14064476,https://www.sofascore.com/api/v1/event/14064476/shotmap
8,20,RC Strasbourg,Paris Saint-Germain,1,2,14064477,https://www.sofascore.com/api/v1/event/14064477/shotmap
0,21,Metz,Lille,0,0,14064496,https://www.sofascore.com/api/v1/event/14064496/shotmap
1,21,RC Lens,Stade Rennais,3,1,14064487,https://www.sofascore.com/api/v1/event/14064487/shotmap
2,21,Stade Brestois,Lorient,2,0,14064488,https://www.sofascore.com/api/v1/event/14064488/shotmap
3,21,Nantes,Olympique Lyonnais,0,1,14064486,https://www.sofascore.com/api/v1/event/14064486/shotmap
4,21,Nice,AS Monaco,0,0,14064483,https://www.sofascore.com/api/v1/event/14064483/shotmap
5,21,Angers,Toulouse,1,0,14064489,https://www.sofascore.com/api/v1/event/14064489/shotmap
6,21,Auxerre,Paris FC,0,0,14064484,https://www.sofascore.com/api/v1/event/14064484/shotmap
7,21,Le Havre,RC Strasbourg,2,1,14064490,https://www.sofascore.com/api/v1/event/14064490/shotmap
8,21,Paris Saint-Germain,Olympique de Marseille,5,0,14064485,https://www.sofascore.com/api/v1/event/14064485/shotmap
0,22,Stade Rennais,Paris Saint-Germain,3,1,14064499,https://www.sofascore.com/api/v1/event/14064499/shotmap
1,22,AS Monaco,Nantes,3,1,14064500,https://www.sofascore.com/api/v1/event/14064500/shotmap
2,22,Olympique de Marseille,RC Strasbourg,2,2,14064494,https://www.sofascore.com/api/v1/event/14064494/shotmap
3,22,Lille,Stade Brestois,1,1,14064498,https://www.sofascore.com/api/v1/event/14064498/shotmap
4,22,Paris FC,RC Lens,0,5,14064492,https://www.sofascore.com/api/v1/event/14064492/shotmap
5,22,Le Havre,Toulouse,2,1,14064491,https://www.sofascore.com/api/v1/event/14064491/shotmap
6,22,Lorient,Angers,2,0,14064497,https://www.sofascore.com/api/v1/event/14064497/shotmap
7,22,Metz,Auxerre,1,3,14064493,https://www.sofascore.com/api/v1/event/14064493/shotmap
