season,round,game_index,date,home_team,away_team,home_score,away_score
26,22,4,25/01/2026,Sassuolo,Cremonese,1,0
26,22,5,25/01/2026,Atalanta,Parma,4,0
26,22,6,25/01/2026,Genoa,Bologna,3,2
26,22,7,25/01/2026,Juventus,SSC Napoli,3,0
26,22,8,25/01/2026,AS Roma,AC Milan,1,1
26,22,9,26/01/2026,Hellas Verona,Udinese,1,3
26,23,0,30/01/2026,Lazio,Genoa,3,2
26,23,1,31/01/2026,Pisa,Sassuolo,1,3
26,23,2,31/01/2026,SSC Napoli,Fiorentina,2,1
26,23,3,31/01/2026,Cagliari,Hellas Verona,4,0
26,23,4,01/02/2026,Torino,Lecce,1,0
26,23,5,01/02/2026,Como,Atalanta,0,0
26,23,6,01/02/2026,Cremonese,Inter,0,2
26,23,7,01/02/2026,Parma,Juventus,1,4
26,23,8,02/02/2026,Udinese,AS Roma,1,0
26,23,9,03/02/2026,Bologna,AC Milan,0,3
26,24,0,06/02/2026,Hellas Verona,Pisa,0,0
26,24,1,07/02/2026,Genoa,SSC Napoli,2,3
26,24,2,07/02/2026,Fiorentina,Torino,2,2
26,24,3,08/02/2026,Bologna,Parma,0,1
26,24,5,08/02/2026,Lecce,Udinese,2,1
26,24,6,08/02/2026,Sassuolo,Inter,0,5
26,24,7,08/02/2026,Juventus,Lazio,2,2
26,24,8,09/02/2026,Atalanta,Cremonese,2,1
26,24,9,09/02/2026,AS Roma,Cagliari,2,0
26,24,10,18/02/2026,AC Milan,Como,1,1
26,25,0,13/02/2026,Pisa,AC Milan,1,2
26,25,1,14/02/2026,Como,Fiorentina,1,2
26,25,2,14/02/2026,Lazio,Atalanta,0,2
26,25,3,14/02/2026,Inter,Juventus,3,2
26,25,4,15/02/2026,Udinese,Sassuolo,1,2
26,25,5,15/02/2026,Cremonese,Genoa,0,0
26,25,6,15/02/2026,Parma,Hellas Verona,2,1
26,25,7,15/02/2026,Torino,Bologna,1,2
26,25,8,15/02/2026,SSC Napoli,AS Roma,2,2
26,25,9,16/02/2026,Cagliari,Lecce,0,2
26,26,0,20/02/2026,Sassuolo,Hellas Verona,3,0
26,26,1,21/02/2026,Juventus,Como,0,2
26,26,2,21/02/2026,Lecce,Inter,0,2
26,26,3,21/02/2026,Cagliari,Lazio,0,0
26,26,4,22/02/2026,Genoa,Torino,3,0
26,26,5,22/02/2026,Atalanta,SSC Napoli,2,1
26,26,6,22/02/2026,AC Milan,Parma,0,1
26,26,7,22/02/2026,AS Roma,Cremonese,3,0
26,26,8,23/02/2026,Fiorentina,Pisa,1,0
26,26,9,23/02/2026,Bologna,Udinese,1,0
26,27,0,27/02/2026,Parma,Cagliari,1,1
26,27,1,28/02/2026,Como,Lecce,3,1
26,27,2,28/02/2026,Hellas Verona,SSC Napoli,1,2
26,27,3,28/02/2026,Inter,Genoa,2,0
26,27,4,01/03/2026,Cremonese,AC Milan,0,2
26,27,5,01/03/2026,Sassuolo,Atalanta,2,1
26,27,6,01/03/2026,Torino,Lazio,2,0
26,27,7,01/03/2026,AS Roma,Juventus,3,3
26,27,8,02/03/2026,Pisa,Bologna,0,1
26,27,9,02/03/2026,Udinese,Fiorentina,3,0
26,28,0,06/03/2026,SSC Napoli,Torino,2,1
26,28,1,07/03/2026,Cagliari,Como,1,2
26,28,2,07/03/2026,Atalanta,Udinese,2,2
26,28,3,07/03/2026,Juventus,Pisa,4,0
26,28,4,08/03/2026,Lecce,Cremonese,2,1
26,28,5,08/03/2026,Bologna,Hellas Verona,1,2
26,28,6,08/03/2026,Fiorentina,Parma,0,0
26,28,7,08/03/2026,Genoa,AS Roma,2,1
26,28,8,08/03/2026,AC Milan,Inter,1,0
26,28,9,09/03/2026,Lazio,Sassuolo,2,1
26,29,0,13/03/2026,Torino,Parma,4,1
26,29,1,14/03/2026,Inter,Atalanta,1,1
26,29,2,14/03/2026,SSC Napoli,Lecce,2,1
26,29,3,14/03/2026,Udinese,Juventus,0,1
26,29,4,15/03/2026,Hellas Verona,Genoa,0,2
26,29,5,15/03/2026,Pisa,Cagliari,3,1
