player,playerID
Jon Magunazelaia,264665
Isi Palazón,232498
Jaume Costa,193171
Álex Berenguer,225201
Javi López,256097
Rubén Alcaraz,229788
Tomás Alarcón,235824
Chumi,241810
Josep Chavarría,258371
Papu Gómez,143076
Victor Okoh Boniface,247679
Willian José,195093
Arnaut Danjuma,236276
Pablo Marín,272455
Aleksandar Radovanović,244135
Sergio Akieme,226103
Franck Kessié,230938
Fran García,246606
Nacho Fernández,200724
Iván Alejo,231280
Léo Baptistão,205976
Monchu,241933
Lovro Majer,244261
César de la Hoz,211037
Christoph Klarer,242386
Aleksandar Sedlar,234933
Curro,231733
Tomáš Čvančara,246919
Dejan Ljubičić,240916
Mamady Diarra,271223
Shon Weissman,251412
Luis Javier Suárez,245158
Juanlu Sánchez,264174
Tiago Tomás,257073
Carlos Soler,234153
Cédric Bakambu,198951
Pablo Barrios,272449
Filip Stojilković,255562
Ben Brereton Díaz,233795
Luiz Henrique,264698
Kevin Sessa,242974
Alexander Nübel,223885
José Copete,263396
Kike Pérez,236760
Alejandro Grimaldo,210035
Josan,229667
Javi Llabrés,264110
Fran Beltrán,235997
Juanpe,192715
Ignasi Miquel,196935
Jordi Martín,278982
Rareș Cătălin Burnete,277636
Gonzalo Verdú,243945
Max Finkgrafe,277887
Lennard Maloney,240669
Isco,197781
Antonio Puertas,213577
Marko Milovanović,271683
André Almeida,247729
Edgar González,247500
Woo-Yeong Jeong,239138
Jorge Meré,223033
Fali,229628
Toni Lato,232008
Dani García,216194
José Manuel Arnáiz,231530
Vitor Roque,276589
Rodri Sánchez,259681
Leart Paqarada,223633
Sergio Ruiz Alonso,250881
Joaquin Panichelli,273748
Rui Modesto,274270
Luiz Felipe,236355
Marvin Pieringer,260290
Marvin Park,258922
Rachad Dhimi,279119
José Pozo,218746
Santi Comesaña,235781
Raúl de Tomás,210315
John Nwankwo,260083
Rafa Mir,231628
Óscar de Marcos,190149
Maxence Caqueret,246646
Kang-in Lee,243780
Salvi Sánchez,234772
Fraser Hornby,242965
Malcom Ares,271037
Germán Pezzella,193601
Patrick Mainka,216199
Luis Pérez,235088
Vinícius Júnior,238794
Kiko Femenía,189860
Javi Galán,231591
Leroy Sané,222492
Moi Gómez,206590
César Montes,229980
Sergio Reguilón,245279
Manu Vallejo,241686
Óscar Melendo,236679
Enzo Loiodice,243478
Samu Sáiz,198143
Gabri Veiga,258729
Adrià Altimira,269228
Héctor Bellerín,203747
Carlos Romero,270728
Dyego Sousa,224116
Maximilian Beier,254117
José María Giménez,216460
José Campaña,199823
Milutin Osmajić,263230
Attila Szalai,253170
Yéremy Pino,259377
Chimy Ávila,228520
Ibrahima Kone,242893
Chris Ramos,241973
Luca De La Torre,229379
Joselu,173608
Rubén Duarte,226637
Fede San Emeterio,223654
Carl Starfelt,220821
Matej Maglica,265465
Víctor Chust,259173
Suso,202651
Kevin Müller,202873
Pejiño,242489
İlkay Gündoğan,186942
João Félix,242444
Juan Narváez,220815
Darwin Machís,210463
Théo Bongonda,217877
Kike Salas,271755
Joakim Mæhle,234678
David Datro Fofana,260942
Famara Diédhiou,223283
Samú Costa,255566
Raúl Fernández,186680
Marcel Sabitzer,204923
Maximiliano Gómez,239207
Granit Xhaka,199503
Yannick Carrasco,208418
Siebe Van Der Heyden,234167
Rominigue Kouamé,239894
Joseba Zaldúa,220132
José Carlos Lazo,229631
Miguel Rubio,243431
Koke,193747
Yellu Santiago,270698
Álvaro Carreras,268889
Dani Parejo,189513
Unai Gómez,277708
Bryan Zaragoza,271916
Alex Suárez,251337
Peter González,266136
Luis Hernández,205590
Sergi Altimira,276471
Florian Grillitsch,228336
Phillip Tietz,233216
Miguel de la Fuente,240589
Manu Bueno,275520
Dani Rodríguez,198451
David Silva,168542
Luis Rioja,224415
Ismaila Ciss,250858
Giovani Lo Celso,226226
Javi Puado,244622
Lucas Rosa,272357
Abdelkabir Abqar,245628
Arthur,230658
Bruno Langa,251647
Harry Kane,202126
Juan Iglesias,260178
Jude Bellingham,252371
Kike Barja,225200
Wilson Manafá,238857
Ayoze Pérez,215590
André Silva,228941
Álex Sola,247458
Marcos Pena,278814
Gabriel Paulista,201305
Juanmi Latasa,271682
Benito Ramírez,235515
Diogo Leite,234575
Florian Pick,237635
Denis Thomalla,200954
Álex Centelles,241470
Fernando Niño,252590
Thierry Correia,247832
Lamine Yamal,277643
Kike García,192678
Loïs Openda,243580
Martín Montoya,194644
Jonathan Bamba,225085
Yan Couto,259075
Diadié Samassékou,235424
Ángel Rodríguez,177633
Edu Expósito,229862
Ivan Rakitić,168651
Srđan Babić,235589
Nico Williams,256516
Emir Karić,244940
Carlos Benavídez,244948
Nacho Vidal,238305
Bryan Gil,246785
Manuel Sánchez,202611
Aritz Arambarri,254003
Alexander Sørloth,216549
Irvin Cardona,235888
Seydouba Cisse,267624
Hugo Novoa Ramos,258041
Jorge Sáenz,225106
Abel Ruíz,239250
Roberto López,246169
Takuma Asano,232610
Julián Chicco,233887
Sébastien Haller,205693
Nabil Fekir,216594
Sergio González,221652
Darko Brašanac,236221
Javi Rodríguez,279027
John Finn,260195
Álvaro Tejero,231856
Abdulay Juma Bah,75148
Joan Jordán,224309
Coba da Costa,74403
Allan Nyom,192667
Alex Král,247028
Orri Steinn Óskarsson,269186
Santiago Mouriño,276493
Toni Martínez,234826
Clément Lenglet,220440
Álex Muñoz,211857
Julián Álvarez,246191
Fer López,75628
Kylian Mbappé,231747
Alfon González,243034
Nicolas Pépé,226110
Stoichkov,245157
Dário Essugo,261530
Roberto Fernández,263676
Mamadou Sylla,224967
Peque Fernández,270301
Álvaro Aguado,242336
Antoniu Roca,263133
Chiquinho,262416
Romain Perraud,231318
Dani Raba,241463
Papa Dame Ba,75502
Óscar Rodríguez,239335
Yvan Neyou,237626
Pau Víctor,259070
Diego Garcia,264229
Sergi Gómez,199577
Matija Nastasić,205362
Gabriel Misehouy,278216
Adrián Pica,278216
Stanis Idumbo Muzambo,70893
Ruben Vargas,238581
Amath Ndiaye,233631
