id,foot
954855,RightFoot
859917,RightFoot
973536,RightFoot
15190,RightFoot
812332,LeftFoot
967510,LeftFoot
53816,LeftFoot
870762,RightFoot
845486,RightFoot
806968,RightFoot
359272,RightFoot
190399,RightFoot
976037,LeftFoot
839818,RightFoot
71203,RightFoot
1086417,LeftFoot
558738,RightFoot
190435,RightFoot
80406,BothFeet
15444,RightFoot
845271,RightFoot
1065937,RightFoot
371222,RightFoot
1122910,LeftFoot
187205,RightFoot
924690,RightFoot
139229,RightFoot
155449,RightFoot
867546,RightFoot
788170,LeftFoot
131910,LeftFoot
132410,RightFoot
963398,LeftFoot
19394,RightFoot
876860,LeftFoot
1015274,LeftFoot
158599,RightFoot
21992,RightFoot
802143,RightFoot
830288,RightFoot
605580,LeftFoot
1108921,RightFoot
788185,LeftFoot
788284,LeftFoot
847097,RightFoot
55314,LeftFoot
365992,RightFoot
238408,BothFeet
340509,RightFoot
990050,LeftFoot
914765,RightFoot
906021,RightFoot
1155625,LeftFoot
927188,LeftFoot
362222,RightFoot
22975,RightFoot
42147,RightFoot
997215,BothFeet
1100272,RightFoot
840414,RightFoot
1067220,RightFoot
1000018,LeftFoot
96547,LeftFoot
880207,RightFoot
963084,RightFoot
914487,RightFoot
982601,RightFoot
842513,LeftFoot
931267,RightFoot
1046323,RightFoot
249629,RightFoot
148745,LeftFoot
545780,RightFoot
961688,RightFoot
936122,LeftFoot
940692,RightFoot
826208,LeftFoot
965795,RightFoot
70930,LeftFoot
111802,BothFeet
2089,BothFeet
110781,RightFoot
74506,LeftFoot
827934,RightFoot
386230,RightFoot
905453,RightFoot
373724,LeftFoot
1142612,RightFoot
931266,RightFoot
798664,LeftFoot
146951,RightFoot
338991,RightFoot
1397822,RightFoot
1108074,RightFoot
293581,RightFoot
330705,LeftFoot
881024,RightFoot
928779,RightFoot
18342,RightFoot
38710,BothFeet
2695,LeftFoot
826570,RightFoot
947171,RightFoot
250931,RightFoot
548178,LeftFoot
874481,RightFoot
880061,RightFoot
966869,BothFeet
13148,RightFoot
791190,BothFeet
831799,RightFoot
151124,RightFoot
590262,RightFoot
37151,BothFeet
173349,RightFoot
133792,LeftFoot
106258,RightFoot
845344,RightFoot
784655,LeftFoot
354576,RightFoot
123208,RightFoot
928106,RightFoot
958521,RightFoot
14933,RightFoot
970978,LeftFoot
907072,RightFoot
604954,RightFoot
794950,LeftFoot
44848,BothFeet
350210,LeftFoot
41270,LeftFoot
980383,RightFoot
40965,RightFoot
294597,LeftFoot
14251,LeftFoot
126071,RightFoot
928124,LeftFoot
24248,RightFoot
41008,RightFoot
317699,RightFoot
100568,RightFoot
135647,RightFoot
885197,RightFoot
43830,LeftFoot
359226,RightFoot
